,"from","to","Pharma R&D  Annual Review 2017"
391,"Cancer",608009,
392,"Cancer",601929,
393,"Cancer",610339,
394,"Cancer",603269,
395,"Cancer",805809,
396,"Cancer",601943,
397,"Cancer",802681,
398,"Cancer",601021,
399,"Cancer",611818,
400,"Cancer",606208,
401,"Cancer",612071,
402,"Cancer",801423,
403,"Cancer",800688,
404,"Cancer",600017,
405,"Cancer",804943,
406,"Cancer",608396,
407,"Cancer",804958,
408,"Cancer",602634,
409,"Cancer",605069,
410,"Cancer",606319,
411,"Cancer",607607,
412,"Cancer",601475,
413,"Cancer",603564,
414,"Cancer",605609,
415,"Cancer",611430,
416,"Cancer",611470,
417,"Cancer",603147,
418,"Cancer",609146,
419,"Cancer",605323,
420,"Cancer",604773,
421,"Cancer",607901,
422,"Cancer",608192,
423,"Cancer",602585,
424,"Cancer",611142,
425,"Cancer",804840,
426,"Cancer",607863,
427,"Cancer",800486,
428,"Cancer",602727,
429,"Cancer",601089,
430,"Cancer",601093,
431,"Cancer",605943,
432,"Cancer",609907,
433,"Cancer",608039,
434,"Cancer",805334,
435,"Cancer",609349,
436,"Cancer",608021,
437,"Cancer",602832,
438,"Cancer",602030,
439,"Cancer",606682,
440,"Cancer",602270,
441,"Cancer",804927,
442,"Cancer",805915,
443,"Cancer",805103,
444,"Cancer",602594,
445,"Cancer",604817,
446,"Cancer",607580,
447,"Cancer",607254,
448,"Cancer",803598,
449,"Cancer",602584,
450,"Cancer",609609,
451,"Cancer",611463,
452,"Cancer",607932,
453,"Cancer",607881,
454,"Cancer",604959,
455,"Cancer",609227,
456,"Cancer",604866,
457,"Cancer",608070,
458,"Cancer",605013,
459,"Cancer",606118,
460,"Cancer",609761,
461,"Cancer",612304,
462,"Cancer",603548,
463,"Cancer",603126,
464,"Cancer",600685,
465,"Cancer",803608,
466,"Cancer",609714,
467,"Cancer",605091,
468,"Cancer",600619,
469,"Cancer",602723,
470,"Cancer",600315,
471,"Cancer",802830,
472,"Cancer",610035,
473,"Cancer",605216,
474,"Cancer",611465,
475,"Cancer",606967,
476,"Cancer",804776,
477,"Cancer",600956,
478,"Cancer",801772,
479,"Cancer",802881,
480,"Cancer",801031,
481,"Cancer",605152,
482,"Cancer",608639,
483,"Cancer",609930,
484,"Cancer",600086,
485,"Cancer",805590,
486,"Cancer",611980,
487,"Cancer",607817,
488,"Cancer",805803,
489,"Cancer",605736,
490,"Cancer",604983,
491,"Cancer",603772,
492,"Cancer",803896,
493,"Cancer",604877,
494,"Cancer",611711,
495,"Cancer",612293,
496,"Cancer",602750,
497,"Cancer",605978,
498,"Cancer",611505,
499,"Cancer",608651,
500,"Cancer",805515,
501,"Cancer",608818,
502,"Cancer",602568,
503,"Cancer",605099,
504,"Cancer",604535,
505,"Cancer",603655,
506,"Cancer",604227,
