,"from","to","Pharma R&D  Annual Review 2017"
11768,"Breasttumor",600926,1
11769,"Breasttumor",604966,1
11770,"Breasttumor",606593,1
11771,"Breasttumor",800108,1
11772,"Breasttumor",610896,1
11773,"Breasttumor",603655,1
11774,"Breasttumor",801528,1
11775,"Breasttumor",603665,1
11776,"Breasttumor",604227,1
11777,"Breasttumor",601402,1
11778,"Breasttumor",612326,1
11779,"Breasttumor",611451,1
11780,"Breasttumor",601253,1
11781,"Breasttumor",611507,1
11782,"Breasttumor",611737,1
11783,"Breasttumor",805143,1
11784,"Breasttumor",611343,1
11785,"Breasttumor",611885,1
11786,"Breasttumor",611973,1
11787,"Breasttumor",606403,1
11788,"Breasttumor",605048,1
11789,"Breasttumor",611714,1
11790,"Breasttumor",600224,1
11791,"Breasttumor",611342,1
11792,"Breasttumor",611495,1
11793,"Breasttumor",606087,1
11794,"Breasttumor",606704,1
11795,"Breasttumor",607923,1
11796,"Breasttumor",604300,1
11797,"Breasttumor",601254,1
11798,"Breasttumor",608190,1
11799,"Breasttumor",600480,1
11800,"Breasttumor",609201,1
11801,"Breasttumor",602088,1
11802,"Breasttumor",600584,1
11803,"Breasttumor",611921,1
11804,"Breasttumor",610021,1
11805,"Breasttumor",612258,1
11806,"Breasttumor",605328,1
11807,"Breasttumor",606501,1
11808,"Breasttumor",602552,1
11809,"Breasttumor",604874,1
11810,"Breasttumor",603885,1
11811,"Breasttumor",606910,1
11812,"Breasttumor",600136,1
11813,"Breasttumor",603501,1
11814,"Breasttumor",805366,1
11815,"Breasttumor",612171,1
11816,"Breasttumor",603863,1
11817,"Breasttumor",610656,1
11818,"Breasttumor",601971,1
11819,"Breasttumor",602324,1
11820,"Breasttumor",600299,1
11821,"Breasttumor",607251,1
11822,"Breasttumor",608000,1
11823,"Breasttumor",805129,1
11824,"Breasttumor",611183,1
11825,"Breasttumor",603789,1
11826,"Breasttumor",605002,1
11827,"Breasttumor",607773,1
11828,"Breasttumor",602850,1
11829,"Breasttumor",607934,1
11830,"Breasttumor",604230,1
11831,"Breasttumor",805266,1
11832,"Breasttumor",608599,1
11833,"Breasttumor",611442,1
11834,"Breasttumor",606100,1
11835,"Breasttumor",611050,1
11836,"Breasttumor",605916,1
11837,"Breasttumor",804808,1
11838,"Breasttumor",803100,1
11839,"Breasttumor",612178,1
11840,"Breasttumor",600021,1
11841,"Breasttumor",612152,1
11842,"Breasttumor",602215,1
11843,"Breasttumor",602620,1
11844,"Breasttumor",603153,1
11845,"Breasttumor",805312,1
11846,"Breasttumor",605459,1
11847,"Breasttumor",803425,1
11848,"Breasttumor",608546,1
11849,"Breasttumor",600889,1
11850,"Breasttumor",611522,1
11851,"Breasttumor",612192,1
11852,"Breasttumor",603064,1
11853,"Breasttumor",805917,1
11854,"Breasttumor",609998,1
11855,"Breasttumor",605866,1
11856,"Breasttumor",610749,1
11857,"Breasttumor",605956,1
11858,"Breasttumor",605214,1
11859,"Breasttumor",805216,1
11860,"Breasttumor",600547,1
11861,"Breasttumor",601502,1
11862,"Breasttumor",607987,1
11863,"Breasttumor",605220,1
11864,"Breasttumor",607907,1
11865,"Breasttumor",605250,1
11866,"Breasttumor",606658,1
11867,"Breasttumor",609557,1
11868,"Breasttumor",601747,1
11869,"Breasttumor",611459,1
11870,"Breasttumor",602862,1
11871,"Breasttumor",606621,1
11872,"Breasttumor",604338,1
11873,"Breasttumor",601615,1
11874,"Breasttumor",600272,1
11875,"Breasttumor",803476,1
11876,"Breasttumor",803863,1
11877,"Breasttumor",609640,1
11878,"Breasttumor",611415,1
11879,"Breasttumor",606803,1
11880,"Breasttumor",611636,1
11881,"Breasttumor",606900,1
11882,"Breasttumor",603211,1
11883,"Breasttumor",609987,1
11884,"Breasttumor",606420,1
11885,"Breasttumor",602299,1
11886,"Breasttumor",610836,1
11887,"Breasttumor",610875,1
11888,"Breasttumor",612276,1
11889,"Breasttumor",800258,1
11890,"Breasttumor",602759,1
11891,"Breasttumor",604558,1
11892,"Breasttumor",803871,1
11893,"Breasttumor",802608,1
11894,"Breasttumor",603882,1
11895,"Breasttumor",605826,1
11896,"Breasttumor",603797,1
11897,"Breasttumor",604092,1
11898,"Breasttumor",610333,1
11899,"Breasttumor",800979,1
11900,"Breasttumor",607208,1
11901,"Breasttumor",611538,1
11902,"Breasttumor",600215,1
11903,"Breasttumor",600773,1
11904,"Breasttumor",600592,1
11905,"Breasttumor",604021,1
11906,"Breasttumor",611925,1
11907,"Breasttumor",601592,1
11908,"Breasttumor",609801,1
11909,"Breasttumor",603612,1
11910,"Breasttumor",801911,1
11911,"Breasttumor",603204,1
11912,"Breasttumor",607742,1
11913,"Breasttumor",603907,1
11914,"Breasttumor",609037,1
11915,"Breasttumor",805482,1
11916,"Breasttumor",611665,1
11917,"Breasttumor",600409,1
11918,"Breasttumor",600567,1
11919,"Breasttumor",801199,1
11920,"Breasttumor",606133,1
11921,"Breasttumor",605716,1
11922,"Breasttumor",602675,1
11923,"Breasttumor",607468,1
11924,"Breasttumor",605633,1
11925,"Breasttumor",607137,1
11926,"Breasttumor",802028,1
11927,"Breasttumor",612048,1
11928,"Breasttumor",601416,1
11929,"Breasttumor",602417,1
11930,"Breasttumor",609751,1
11931,"Breasttumor",604218,1
11932,"Breasttumor",608397,1
11933,"Breasttumor",602153,1
11934,"Breasttumor",602943,1
11935,"Breasttumor",801425,1
11936,"Breasttumor",604225,1
11937,"Breasttumor",605521,1
11938,"Breasttumor",611011,1
11939,"Breasttumor",605433,1
11940,"Breasttumor",611610,1
11941,"Breasttumor",611779,1
11942,"Breasttumor",605769,1
11943,"Breasttumor",602093,1
11944,"Breasttumor",607372,1
11945,"Breasttumor",607181,1
11946,"Breasttumor",802395,1
11947,"Breasttumor",805884,1
11948,"Breasttumor",609145,1
11949,"Breasttumor",602737,1
11950,"Breasttumor",610881,1
11951,"Breasttumor",606698,1
11952,"Breasttumor",604709,1
11953,"Breasttumor",602327,1
11954,"Breasttumor",802567,1
11955,"Breasttumor",611543,1
11956,"Breasttumor",805569,1
11957,"Breasttumor",610796,1
11958,"Breasttumor",611099,1
11959,"Breasttumor",612349,1
11960,"Breasttumor",600519,1
11961,"Breasttumor",602014,1
11962,"Breasttumor",800052,1
11963,"Breasttumor",605316,1
